req_id,priority,statement,source_file,source_line,evidence_type,status,related_tests,notes
CM-DATA-011,MUST,"System MUST sanitize feedV2 entities (ids, dimensions, route defaults, rect defaults/clamps) when preparing feed runtime.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,4890,code+test,implemented,Rship.ContentMapping.Feed.ExplicitEmptyArraysPreserved,ID/dimension/rect sanitize logic
CM-DATA-012,MUST,"System MUST persist and reload cache with top-level renderContexts/mappingSurfaces/mappings arrays.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,8043,code+test,implemented,Rship.ContentMapping.Context.DepthRoundTrip,SaveCache/LoadCache schema
CM-DATA-013,MUST,"System MUST resolve mapping material path by settings override then plugin/project candidate order.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1628,code,implemented,-,Initialize runtime material candidate order
CM-DATA-014,MUST,"System MUST require RshipContextTexture in material contract validation.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,8189,code+test,conflict,Rship.ContentMapping.Contract.Validation,Docs claim broader required contract than current code
CM-DATA-015,MUST,"System MUST honor content-mapping settings fields from URshipSettings when bootstrapping mapping runtime.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Public/RshipSettings.h,191,code,implemented,-,bEnableContentMapping AssetStoreUrl cache/material overrides
CM-RT-001,MUST,"System MUST initialize asset-store client/material/cache and mark mappings dirty when content mapping is enabled.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1600,code,implemented,-,Initialize
CM-RT-002,MUST,"System MUST save dirty cache and cleanup mapping runtime resources on shutdown.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1674,code,implemented,-,Shutdown
CM-RT-003,MUST,"System MUST run rebuild stage when dirty and refresh stage only under rebuild/continuous-refresh/runtime-prepare conditions.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1743,code,implemented,-,Tick stage gating
CM-RT-004,MUST,"System MUST debounce cache writes before persisting mutated mapping state.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1774,code,implemented,-,CacheSaveDueTimeSeconds delay
CM-RT-005,MUST,"System MUST compute required contexts from enabled mappings and deactivate/destroy non-required contexts in refresh.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1910,code,implemented,-,RefreshLiveMappings required context set
CM-RT-006,MUST,"System MUST resolve camera context from camera/source-anchor with fallback camera selection and viewport/player fallback when needed.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3374,code,implemented,-,ResolveRenderContext camera path
CM-RT-007,MUST,"System MUST configure capture components using capture profile and main-view CVars during context setup.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3647,code,implemented,-,ContextSetupHash and ApplyCaptureQualityProfile
CM-RT-008,MUST,"System MUST manage depth capture component/render target lifecycle only when depth capture is enabled.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3936,code,implemented,-,Depth capture branch
CM-RT-009,MUST,"System MUST resolve asset-store textures from local cache or download pipeline for color/depth asset ids.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,4028,code,implemented,-,ResolveAssetTexture lambda
CM-RT-010,MUST,"System MUST resolve mapping surfaces by actorPath exact match first and fallback scored world scan if unresolved.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,4099,code,implemented,-,ResolveMappingSurface search strategy
CM-RT-011,MUST,"System MUST require mesh readiness, mapping material availability, and valid material contract before applying mapping to surface.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,6177,code+test,implemented,Rship.ContentMapping.Contract.Validation,ApplyMappingToSurface preconditions
CM-RT-012,MUST,"System MUST emit explicit missing-texture errors and skip apply when no effective mapping texture exists.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,6248,code,implemented,-,No synthetic preview fallback in apply path
CM-RT-013,MUST,"System MUST compose feed destination textures from valid enabled routes for matching destination ids.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,5211,code,implemented,-,BuildFeedCompositeTextureForSurface route processing
CM-RT-014,SHOULD,"System SHOULD bypass feed composite RT and bind source texture directly for single full-frame opaque routes.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,5878,code,implemented,-,Feed fast path
CM-RT-015,MUST,"System MUST reject stale mapping echoes using pending upsert/delete guards and tombstones.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3075,code+test,implemented,"Rship.ContentMapping.Mapping.DeleteTombstoneGuardsStaleUpsert;Rship.ContentMapping.Feed.RemoveRouteGuardsStaleEcho;Rship.ContentMapping.Feed.RemoveDestinationGuardsStaleEcho;Rship.ContentMapping.Feed.RemoveSourceGuardsStaleEcho",PendingMappingUpserts/PendingMappingDeletes
CM-RT-016,MUST,"System MUST dirty mappings when coverage preview toggles so debug-coverage parameters reapply.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2354,code,implemented,-,SetCoveragePreviewEnabled
CM-RT-017,MUST,"System MUST expose render-context JSON bridge with context metadata and hasRenderTarget state.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2320,code,implemented,-,GetRenderContextsJsonForSubsystem
CM-RT-018,MUST,"System MUST restore original surface materials and clear runtime MID/hash state on unapply paths.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,6133,code,implemented,-,RestoreSurfaceMaterials
CM-ACT-001,MUST,"System MUST dispatch actions by target path prefix to context/surface/mapping action handlers.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3115,code,implemented,-,RouteAction prefix dispatch
CM-ACT-002,MUST,"System MUST support all registered context action names in HandleContextAction.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,7487,code,implemented,-,Action parity with context RegisterAction list
CM-ACT-003,MUST,"System MUST support all registered surface action names in HandleSurfaceAction.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,7551,code,implemented,-,Action parity with surface RegisterAction list
CM-ACT-004,MUST,"System MUST support all registered mapping action names including feed upsert/remove operations in HandleMappingAction.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,7602,code+test,implemented,"Rship.ContentMapping.Feed.RemoveRouteGuardsStaleEcho;Rship.ContentMapping.Feed.RemoveDestinationGuardsStaleEcho;Rship.ContentMapping.Feed.RemoveSourceGuardsStaleEcho",Mapping action parity
CM-ACT-005,MUST,"System MUST safely parse JSON ingress wrappers and no-op invalid JSON in Process*EventJson entrypoints.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2671,code,implemented,-,ParseJsonObjectString guards
CM-ACT-006,MUST,"System MUST implement render-context upsert/delete ingest semantics with resolve/register/emit and dirty/cache updates.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2701,code,implemented,-,ProcessRenderContextEvent
CM-ACT-007,MUST,"System MUST implement surface upsert/delete ingest semantics with material restore/feed RT cleanup and target lifecycle updates.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2794,code,implemented,-,ProcessMappingSurfaceEvent
CM-ACT-008,MUST,"System MUST implement mapping upsert/delete ingest semantics including type alias normalization and stale guard handling.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2870,code+test,implemented,Rship.ContentMapping.Mapping.DeleteTombstoneGuardsStaleUpsert,ProcessMappingEvent
CM-ACT-009,MUST,"System MUST propagate CRUD mutations through subsystem SetItem/DelItem and mark mapping/cache dirty.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,2365,code,implemented,-,Create/Update/Delete context/surface/mapping methods
CM-ACT-010,MUST,"System MUST register context target actionIds/emitterIds and corresponding Action/Emitter items for transport discovery.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,6997,code,implemented,-,RegisterContextTarget
CM-ACT-011,MUST,"System MUST register surface target actionIds/emitterIds and corresponding Action/Emitter items for transport discovery.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,7073,code,implemented,-,RegisterSurfaceTarget
CM-ACT-012,MUST,"System MUST register mapping target actionIds/emitterIds and corresponding Action/Emitter items for transport discovery.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,7143,code,implemented,-,RegisterMappingTarget
CM-ACT-013,MUST,"System MUST emit updated state and mark mappings/cache dirty after successful action handlers.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,8024,code,implemented,-,Normalize/emit/dirty tail in HandleMappingAction and peers
CM-UX-001,SHOULD,"System SHOULD provide panel keyboard shortcuts for quick create/duplicate/toggle and config expand/collapse operations.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,2564,code,untested,-,OnKeyDown bindings
CM-UX-002,SHOULD,"System SHOULD persist and restore quick-create defaults and support selected-actor source/screen fallback during quick-create.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,2606,code,untested,-,StoreQuickCreateDefaults ApplyStoredQuickCreateDefaults ExecuteQuickCreateMapping
CM-UX-003,MUST,"System MUST expose canonical map modes and alias normalization in editor mode selectors.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipModeSelector.cpp,38,code,implemented,-,ModeItems and NormalizeModeToken
CM-UX-004,MUST,"System MUST expose content mode options stretch/crop/fit/pixel-perfect in editor selector UI.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentModeSelector.cpp,255,code,implemented,-,Modes array
CM-UX-005,MUST,"System MUST write mode-specific mapping config and remove incompatible keys when saving/editing mapping form.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,8148,code,implemented,-,ApplyCurrentFormToSelectedMapping
CM-UX-006,SHOULD,"System SHOULD provide projection-edit workflow via preview actor spawn/sync/stop controls for projection mappings.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,1588,code,untested,-,StartProjectionEdit StopProjectionEdit UpdateProjectionFromActor
CM-UX-007,MUST,"System MUST provide interactive mapping canvas behavior for UV and feed modes including paint and drag/resize/hit-test input.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipMappingCanvas.cpp,403,code,implemented,-,Canvas interaction methods
CM-UX-008,SHOULD,"System SHOULD support filter and errors-only toggles for contexts/surfaces/mappings and visible/total list counts.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,8575,code,untested,-,RefreshStatus filter/count logic
CM-UX-009,SHOULD,"System SHOULD support explicit row selection and selected-vs-visible bulk operation scope in panel lists.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,688,code,untested,-,MakeBulkScopeLabel and bulk actions
CM-UX-010,MUST,"System MUST provide feedV2 editing controls and persist generated feedV2 config objects from editor form.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,7168,code,implemented,-,WriteFeedV2Config and list/canvas builders
CM-NFR-001,MUST,"System MUST define content-mapping CVars for perf stats and capture tuning.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,86,code,implemented,-,TAutoConsoleVariable declarations
CM-NFR-002,MUST,"System MUST default capture quality profile CVar to balanced profile value 1.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,111,code,conflict,-,Docs conflict on default value
CM-NFR-003,MUST,"System MUST rate-limit perf logging to roughly once per second when perf stats are enabled.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1848,code,implemented,-,LastPerfLogTimeSeconds gate
CM-NFR-004,SHOULD,"System SHOULD rate-limit repeated missing-source and missing-texture warnings to avoid log spam.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3530,code,implemented,-,warning interval guards in resolve/apply paths
CM-NFR-005,MUST,"System MUST suppress redundant MID writes with per-slot material binding hash caching.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,6307,code,implemented,-,MaterialBindingHashes skip path
CM-NFR-006,SHOULD,"System SHOULD suppress static feed redraws using feed composite signature cache when route/source signature is unchanged.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,5846,code,implemented,-,FeedCompositeStaticSignatures gate
CM-NFR-007,MUST,"System MUST avoid explicit CaptureScene calls when bCaptureEveryFrame is enabled to avoid capture inefficiency warnings.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3720,code,implemented,-,CaptureScene guarded by !bCaptureEveryFrame
CM-INT-001,MUST,"System MUST lazy-load RshipMapping module and instantiate manager class via reflection from subsystem bridge.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,3111,code,implemented,-,GetContentMappingManager reflection path
CM-INT-002,MUST,"System MUST invoke InitializeForSubsystem TickForSubsystem and ShutdownForSubsystem by reflection from subsystem lifecycle.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,3147,code,implemented,-,Initialize Tick Shutdown bridge calls
CM-INT-003,MUST,"System MUST forward target action payloads to manager RouteActionJson through reflection bridge.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,1573,code,implemented,-,InvokeContentMappingFunction RouteActionJson
CM-INT-004,MUST,"System MUST forward render-context/surface/mapping event payloads to manager Process*EventJson bridge handlers.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,1791,code,implemented,-,ProcessRenderContextEventJson ProcessMappingSurfaceEventJson ProcessMappingEventJson
CM-INT-005,MUST,"System MUST expose subsystem bridge helpers for mapping debug overlay state and render-context JSON retrieval.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,3178,code,implemented,-,IsContentMappingDebugOverlayEnabled SetContentMappingDebugOverlayEnabled GetContentMappingRenderContextsJson
CM-INT-006,MUST,"System MUST return null manager when content mapping is disabled in settings.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,3114,code,implemented,-,bEnableContentMapping guard
CM-INT-007,MUST,"System MUST declare runtime and editor mapping modules in plugin descriptor with dependency on RshipExec.",/Users/lucid/rship-unreal/Plugins/RshipMapping/RshipMapping.uplugin,20,code,implemented,-,uplugin module/dependency declarations
CM-INT-008,MUST,"System MUST keep runtime/editor build dependencies wired to RshipExec and editor dependency on RshipMapping.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/RshipMappingEditor.Build.cs,18,code,implemented,-,Build.cs module dependencies
CM-DATA-016,MUST,"System MUST define project-level deterministic pipeline graph schema types as serializable code-first contracts.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Public/RshipTexturePipelineAsset.h,10,code,implemented,"Rship.ContentMapping.Pipeline.CompileDeterministicOrder",Pipeline asset/node/pin/edge/diagnostic structs
CM-RT-019,MUST,"System MUST apply compiled node pipeline plans transactionally by snapshotting current runtime state and rolling back on apply failure.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3917,code+test,implemented,"Rship.ContentMapping.Pipeline.ApplyReplacesMappingMode;Rship.ContentMapping.Pipeline.ApplyRollbackOnFailure",ApplyCompiledPipelinePlan + rollback snapshot
CM-RT-020,MUST,"System MUST force fail-closed strict behavior during compiled pipeline apply by disabling semantic/material fallback paths for the transaction.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3937,code+test,implemented,Rship.ContentMapping.Pipeline.ApplyRollbackOnFailure,Transactional apply sets fallback CVars to 0
CM-ACT-014,MUST,"System MUST expose pipeline graph validate/compile/apply/rollback manager APIs plus JSON wrappers for reflection bridge invocation.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Public/RshipContentMappingManager.h,266,code+test,implemented,"Rship.ContentMapping.Pipeline.ValidateRejectsCycle;Rship.ContentMapping.Pipeline.CompileDeterministicOrder",New manager API surface and JSON wrappers
CM-UX-011,MUST,"System MUST provide docked node pipeline editor workflow with one-click Validate/Apply/Revert/Diagnostics controls while retaining legacy controls during rollout.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMappingEditor/Private/SRshipContentMappingPanel.cpp,4145,code,implemented,-,BuildPipelineGraphSection and node workflow controls
CM-NFR-008,MUST,"System MUST enforce DAG-only compile semantics and deterministic topological ordering for node pipeline execution plans.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,3091,code+test,implemented,"Rship.ContentMapping.Pipeline.ValidateRejectsCycle;Rship.ContentMapping.Pipeline.CompileDeterministicOrder",ValidatePipelineGraph and CompilePipelineGraph ordering
CM-INT-009,MUST,"System MUST forward pipeline graph validate/compile/apply/rollback calls through RshipExec reflection bridge methods.",/Users/lucid/rship-unreal/Plugins/RshipExec/Source/RshipExec/Private/RshipSubsystem.cpp,3335,code,implemented,-,New subsystem bridge methods for pipeline JSON
CM-INT-010,MUST,"System MUST support pluggable endpoint-adapter validation interface for media-profile endpoint bindings in pipeline plans.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Public/RshipTexturePipelineAsset.h,260,code,implemented,-,URshipTexturePipelineEndpointAdapter interface
